"fechainicioanio","sectornombre","status","count"
2016,"AGUA Y CLOACA","En ejecución",0
2016,"AGUA Y CLOACA","Finalizadas",15
2017,"AGUA Y CLOACA","En ejecución",4
2017,"AGUA Y CLOACA","Finalizadas",20
2018,"AGUA Y CLOACA","En ejecución",4
2018,"AGUA Y CLOACA","Finalizadas",42
2019,"AGUA Y CLOACA","En ejecución",3
2019,"AGUA Y CLOACA","Finalizadas",64
2020,"AGUA Y CLOACA","En ejecución",30
2020,"AGUA Y CLOACA","Finalizadas",350
2021,"AGUA Y CLOACA","En ejecución",270
2021,"AGUA Y CLOACA","Finalizadas",726
2022,"AGUA Y CLOACA","En ejecución",350
2022,"AGUA Y CLOACA","Finalizadas",427
2023,"AGUA Y CLOACA","En ejecución",222
2023,"AGUA Y CLOACA","Finalizadas",100
2024,"AGUA Y CLOACA","En ejecución",1
2024,"AGUA Y CLOACA","Finalizadas",1
2025,"AGUA Y CLOACA","En ejecución",0
2025,"AGUA Y CLOACA","Finalizadas",0
2016,"ARQUITECTURA","En ejecución",0
2016,"ARQUITECTURA","Finalizadas",0
2017,"ARQUITECTURA","En ejecución",0
2017,"ARQUITECTURA","Finalizadas",2
2018,"ARQUITECTURA","En ejecución",0
2018,"ARQUITECTURA","Finalizadas",2
2019,"ARQUITECTURA","En ejecución",2
2019,"ARQUITECTURA","Finalizadas",16
2020,"ARQUITECTURA","En ejecución",0
2020,"ARQUITECTURA","Finalizadas",55
2021,"ARQUITECTURA","En ejecución",65
2021,"ARQUITECTURA","Finalizadas",277
2022,"ARQUITECTURA","En ejecución",287
2022,"ARQUITECTURA","Finalizadas",173
2023,"ARQUITECTURA","En ejecución",256
2023,"ARQUITECTURA","Finalizadas",89
2024,"ARQUITECTURA","En ejecución",5
2024,"ARQUITECTURA","Finalizadas",0
2025,"ARQUITECTURA","En ejecución",0
2025,"ARQUITECTURA","Finalizadas",0
2016,"EDUCACIÓN","En ejecución",0
2016,"EDUCACIÓN","Finalizadas",2
2017,"EDUCACIÓN","En ejecución",0
2017,"EDUCACIÓN","Finalizadas",7
2018,"EDUCACIÓN","En ejecución",1
2018,"EDUCACIÓN","Finalizadas",3
2019,"EDUCACIÓN","En ejecución",0
2019,"EDUCACIÓN","Finalizadas",0
2020,"EDUCACIÓN","En ejecución",0
2020,"EDUCACIÓN","Finalizadas",9
2021,"EDUCACIÓN","En ejecución",14
2021,"EDUCACIÓN","Finalizadas",58
2022,"EDUCACIÓN","En ejecución",15
2022,"EDUCACIÓN","Finalizadas",7
2023,"EDUCACIÓN","En ejecución",40
2023,"EDUCACIÓN","Finalizadas",3
2024,"EDUCACIÓN","En ejecución",1
2024,"EDUCACIÓN","Finalizadas",0
2025,"EDUCACIÓN","En ejecución",0
2025,"EDUCACIÓN","Finalizadas",0
2016,"EQUIPAMIENTO URBANO","En ejecución",0
2016,"EQUIPAMIENTO URBANO","Finalizadas",0
2017,"EQUIPAMIENTO URBANO","En ejecución",0
2017,"EQUIPAMIENTO URBANO","Finalizadas",0
2018,"EQUIPAMIENTO URBANO","En ejecución",0
2018,"EQUIPAMIENTO URBANO","Finalizadas",0
2019,"EQUIPAMIENTO URBANO","En ejecución",0
2019,"EQUIPAMIENTO URBANO","Finalizadas",3
2020,"EQUIPAMIENTO URBANO","En ejecución",2
2020,"EQUIPAMIENTO URBANO","Finalizadas",37
2021,"EQUIPAMIENTO URBANO","En ejecución",97
2021,"EQUIPAMIENTO URBANO","Finalizadas",390
2022,"EQUIPAMIENTO URBANO","En ejecución",89
2022,"EQUIPAMIENTO URBANO","Finalizadas",119
2023,"EQUIPAMIENTO URBANO","En ejecución",136
2023,"EQUIPAMIENTO URBANO","Finalizadas",66
2024,"EQUIPAMIENTO URBANO","En ejecución",4
2024,"EQUIPAMIENTO URBANO","Finalizadas",0
2025,"EQUIPAMIENTO URBANO","En ejecución",0
2025,"EQUIPAMIENTO URBANO","Finalizadas",0
2016,"OBRAS VIALES","En ejecución",4
2016,"OBRAS VIALES","Finalizadas",19
2017,"OBRAS VIALES","En ejecución",6
2017,"OBRAS VIALES","Finalizadas",46
2018,"OBRAS VIALES","En ejecución",5
2018,"OBRAS VIALES","Finalizadas",15
2019,"OBRAS VIALES","En ejecución",3
2019,"OBRAS VIALES","Finalizadas",23
2020,"OBRAS VIALES","En ejecución",4
2020,"OBRAS VIALES","Finalizadas",95
2021,"OBRAS VIALES","En ejecución",90
2021,"OBRAS VIALES","Finalizadas",486
2022,"OBRAS VIALES","En ejecución",109
2022,"OBRAS VIALES","Finalizadas",190
2023,"OBRAS VIALES","En ejecución",227
2023,"OBRAS VIALES","Finalizadas",65
2024,"OBRAS VIALES","En ejecución",6
2024,"OBRAS VIALES","Finalizadas",0
2025,"OBRAS VIALES","En ejecución",0
2025,"OBRAS VIALES","Finalizadas",0
2016,"OTROS","En ejecución",0
2016,"OTROS","Finalizadas",0
2017,"OTROS","En ejecución",0
2017,"OTROS","Finalizadas",1
2018,"OTROS","En ejecución",0
2018,"OTROS","Finalizadas",16
2019,"OTROS","En ejecución",1
2019,"OTROS","Finalizadas",18
2020,"OTROS","En ejecución",0
2020,"OTROS","Finalizadas",20
2021,"OTROS","En ejecución",14
2021,"OTROS","Finalizadas",117
2022,"OTROS","En ejecución",30
2022,"OTROS","Finalizadas",78
2023,"OTROS","En ejecución",36
2023,"OTROS","Finalizadas",64
2024,"OTROS","En ejecución",0
2024,"OTROS","Finalizadas",0
2025,"OTROS","En ejecución",0
2025,"OTROS","Finalizadas",0
2016,"RECURSOS HIDRICOS","En ejecución",0
2016,"RECURSOS HIDRICOS","Finalizadas",2
2017,"RECURSOS HIDRICOS","En ejecución",2
2017,"RECURSOS HIDRICOS","Finalizadas",11
2018,"RECURSOS HIDRICOS","En ejecución",1
2018,"RECURSOS HIDRICOS","Finalizadas",10
2019,"RECURSOS HIDRICOS","En ejecución",4
2019,"RECURSOS HIDRICOS","Finalizadas",9
2020,"RECURSOS HIDRICOS","En ejecución",1
2020,"RECURSOS HIDRICOS","Finalizadas",7
2021,"RECURSOS HIDRICOS","En ejecución",9
2021,"RECURSOS HIDRICOS","Finalizadas",32
2022,"RECURSOS HIDRICOS","En ejecución",23
2022,"RECURSOS HIDRICOS","Finalizadas",25
2023,"RECURSOS HIDRICOS","En ejecución",25
2023,"RECURSOS HIDRICOS","Finalizadas",10
2024,"RECURSOS HIDRICOS","En ejecución",0
2024,"RECURSOS HIDRICOS","Finalizadas",0
2025,"RECURSOS HIDRICOS","En ejecución",0
2025,"RECURSOS HIDRICOS","Finalizadas",0
2016,"SALUD","En ejecución",0
2016,"SALUD","Finalizadas",2
2017,"SALUD","En ejecución",1
2017,"SALUD","Finalizadas",0
2018,"SALUD","En ejecución",0
2018,"SALUD","Finalizadas",0
2019,"SALUD","En ejecución",0
2019,"SALUD","Finalizadas",0
2020,"SALUD","En ejecución",4
2020,"SALUD","Finalizadas",50
2021,"SALUD","En ejecución",10
2021,"SALUD","Finalizadas",65
2022,"SALUD","En ejecución",13
2022,"SALUD","Finalizadas",29
2023,"SALUD","En ejecución",25
2023,"SALUD","Finalizadas",11
2024,"SALUD","En ejecución",0
2024,"SALUD","Finalizadas",0
2025,"SALUD","En ejecución",0
2025,"SALUD","Finalizadas",0
2016,"VIVIENDA / HÁBITAT","En ejecución",0
2016,"VIVIENDA / HÁBITAT","Finalizadas",0
2017,"VIVIENDA / HÁBITAT","En ejecución",0
2017,"VIVIENDA / HÁBITAT","Finalizadas",0
2018,"VIVIENDA / HÁBITAT","En ejecución",0
2018,"VIVIENDA / HÁBITAT","Finalizadas",0
2019,"VIVIENDA / HÁBITAT","En ejecución",0
2019,"VIVIENDA / HÁBITAT","Finalizadas",3
2020,"VIVIENDA / HÁBITAT","En ejecución",0
2020,"VIVIENDA / HÁBITAT","Finalizadas",4
2021,"VIVIENDA / HÁBITAT","En ejecución",2
2021,"VIVIENDA / HÁBITAT","Finalizadas",18
2022,"VIVIENDA / HÁBITAT","En ejecución",1
2022,"VIVIENDA / HÁBITAT","Finalizadas",3
2023,"VIVIENDA / HÁBITAT","En ejecución",17
2023,"VIVIENDA / HÁBITAT","Finalizadas",1
2024,"VIVIENDA / HÁBITAT","En ejecución",0
2024,"VIVIENDA / HÁBITAT","Finalizadas",0
2025,"VIVIENDA / HÁBITAT","En ejecución",0
2025,"VIVIENDA / HÁBITAT","Finalizadas",0
