"fechainicioanio","sectornombre","total","finalized","en_ejecucion","avg_avance"
2016,"AGUA Y CLOACA",15,15,0,0
2017,"AGUA Y CLOACA",24,20,4,73.9675
2018,"AGUA Y CLOACA",46,42,4,75.26
2019,"AGUA Y CLOACA",67,64,3,81.39
2020,"AGUA Y CLOACA",380,350,30,68.421
2021,"AGUA Y CLOACA",996,726,270,60.2428148148148
2022,"AGUA Y CLOACA",777,427,350,57.3381428571429
2023,"AGUA Y CLOACA",322,100,222,29.5427027027027
2024,"AGUA Y CLOACA",2,1,1,0
2025,"AGUA Y CLOACA",0,0,0,0
2016,"ARQUITECTURA",0,0,0,0
2017,"ARQUITECTURA",2,2,0,0
2018,"ARQUITECTURA",2,2,0,0
2019,"ARQUITECTURA",18,16,2,61.19
2020,"ARQUITECTURA",55,55,0,0
2021,"ARQUITECTURA",342,277,65,61.0723076923077
2022,"ARQUITECTURA",460,173,287,50.7491289198606
2023,"ARQUITECTURA",345,89,256,31.3140625
2024,"ARQUITECTURA",5,0,5,80.706
2025,"ARQUITECTURA",0,0,0,0
2016,"EDUCACIÓN",2,2,0,0
2017,"EDUCACIÓN",7,7,0,0
2018,"EDUCACIÓN",4,3,1,97.35
2019,"EDUCACIÓN",0,0,0,0
2020,"EDUCACIÓN",9,9,0,0
2021,"EDUCACIÓN",72,58,14,54.8514285714286
2022,"EDUCACIÓN",22,7,15,48.5646666666667
2023,"EDUCACIÓN",43,3,40,11.66425
2024,"EDUCACIÓN",1,0,1,0
2025,"EDUCACIÓN",0,0,0,0
2016,"EQUIPAMIENTO URBANO",0,0,0,0
2017,"EQUIPAMIENTO URBANO",0,0,0,0
2018,"EQUIPAMIENTO URBANO",0,0,0,0
2019,"EQUIPAMIENTO URBANO",3,3,0,0
2020,"EQUIPAMIENTO URBANO",39,37,2,100
2021,"EQUIPAMIENTO URBANO",487,390,97,58.4396907216495
2022,"EQUIPAMIENTO URBANO",208,119,89,53.8283146067416
2023,"EQUIPAMIENTO URBANO",202,66,136,32.1453676470588
2024,"EQUIPAMIENTO URBANO",4,0,4,21.5075
2025,"EQUIPAMIENTO URBANO",0,0,0,0
2016,"OBRAS VIALES",23,19,4,51.9525
2017,"OBRAS VIALES",52,46,6,75.0333333333333
2018,"OBRAS VIALES",20,15,5,59.658
2019,"OBRAS VIALES",26,23,3,76.06
2020,"OBRAS VIALES",99,95,4,93.36
2021,"OBRAS VIALES",576,486,90,70.3343333333333
2022,"OBRAS VIALES",299,190,109,51.0791743119266
2023,"OBRAS VIALES",292,65,227,35.7755947136564
2024,"OBRAS VIALES",6,0,6,3.275
2025,"OBRAS VIALES",0,0,0,0
2016,"OTROS",0,0,0,0
2017,"OTROS",1,1,0,0
2018,"OTROS",16,16,0,0
2019,"OTROS",19,18,1,0
2020,"OTROS",20,20,0,0
2021,"OTROS",131,117,14,67.1278571428571
2022,"OTROS",108,78,30,54.7336666666667
2023,"OTROS",100,64,36,36.3508333333333
2024,"OTROS",0,0,0,0
2025,"OTROS",0,0,0,0
2016,"RECURSOS HIDRICOS",2,2,0,0
2017,"RECURSOS HIDRICOS",13,11,2,75.315
2018,"RECURSOS HIDRICOS",11,10,1,61.57
2019,"RECURSOS HIDRICOS",13,9,4,91.0825
2020,"RECURSOS HIDRICOS",8,7,1,77.24
2021,"RECURSOS HIDRICOS",41,32,9,60.7122222222222
2022,"RECURSOS HIDRICOS",48,25,23,46.2921739130435
2023,"RECURSOS HIDRICOS",35,10,25,14.8256
2024,"RECURSOS HIDRICOS",0,0,0,0
2025,"RECURSOS HIDRICOS",0,0,0,0
2016,"SALUD",2,2,0,0
2017,"SALUD",1,0,1,100
2018,"SALUD",0,0,0,0
2019,"SALUD",0,0,0,0
2020,"SALUD",54,50,4,86.5575
2021,"SALUD",75,65,10,65.304
2022,"SALUD",42,29,13,53.7861538461538
2023,"SALUD",36,11,25,23.8924
2024,"SALUD",0,0,0,0
2025,"SALUD",0,0,0,0
2016,"VIVIENDA / HÁBITAT",0,0,0,0
2017,"VIVIENDA / HÁBITAT",0,0,0,0
2018,"VIVIENDA / HÁBITAT",0,0,0,0
2019,"VIVIENDA / HÁBITAT",3,3,0,0
2020,"VIVIENDA / HÁBITAT",4,4,0,0
2021,"VIVIENDA / HÁBITAT",20,18,2,97.14
2022,"VIVIENDA / HÁBITAT",4,3,1,52.86
2023,"VIVIENDA / HÁBITAT",18,1,17,37.9264705882353
2024,"VIVIENDA / HÁBITAT",0,0,0,0
2025,"VIVIENDA / HÁBITAT",0,0,0,0
